
Predictions were generated on 05-Dec-2019 at 18:02:52 using OpenFAST, compiled as a 64-bit application using double precision at commit v2.1.0-173-g38fc45a8-dirty
 linked with  NWTC Subroutine Library; ElastoDyn; InflowWind; AeroDyn; ServoDyn; HydroDyn; SubDyn

Description from the FAST input file: Oberhalb_26mps

Time      	RootMFlp1 	RootMFlp2 	RootMFlp3 	RootMEdg1 	RootMEdg2 	RootMEdg3 	Wave1Elev 	-ReactMXss	-ReactMYss
(s)       	(kN-m)    	(kN-m)    	(kN-m)    	(kN-m)    	(kN-m)    	(kN-m)    	(m)       	(Nm)      	(Nm)      
    0.0000	 5.748E+02	 6.365E+02	 6.245E+02	 1.065E+01	 8.019E+02	-7.968E+02	 0.000E+00	 7.205E+03	-4.501E+04
    0.0125	 5.440E+02	 6.687E+02	 6.187E+02	 2.111E+01	 8.211E+02	-8.073E+02	 0.000E+00	-4.080E+03	 1.401E+04
    0.0250	 6.118E+02	 7.229E+02	 6.715E+02	 3.866E+01	 8.625E+02	-8.424E+02	 0.000E+00	-2.658E+04	 1.195E+05
    0.0375	 7.330E+02	 7.905E+02	 7.510E+02	 6.214E+01	 9.173E+02	-8.873E+02	 0.000E+00	-2.390E+04	 7.416E+04
    0.0500	 8.486E+02	 8.949E+02	 8.541E+02	 7.812E+01	 9.893E+02	-9.372E+02	 0.000E+00	 2.545E+04	-1.092E+05
    0.0625	 9.640E+02	 1.014E+03	 9.770E+02	 9.310E+01	 1.078E+03	-1.004E+03	 0.000E+00	 1.084E+05	-1.470E+05
    0.0750	 1.102E+03	 1.149E+03	 1.127E+03	 1.102E+02	 1.185E+03	-1.095E+03	 0.000E+00	 1.967E+05	 2.112E+05
    0.0875	 1.259E+03	 1.302E+03	 1.300E+03	 1.256E+02	 1.305E+03	-1.207E+03	 0.000E+00	 2.762E+05	 9.179E+05
    0.1000	 1.447E+03	 1.454E+03	 1.482E+03	 1.385E+02	 1.429E+03	-1.332E+03	 0.000E+00	 3.472E+05	 1.717E+06
    0.1125	 1.667E+03	 1.607E+03	 1.671E+03	 1.464E+02	 1.555E+03	-1.465E+03	 0.000E+00	 3.991E+05	 2.443E+06
    0.1250	 1.909E+03	 1.770E+03	 1.870E+03	 1.488E+02	 1.687E+03	-1.611E+03	 0.000E+00	 3.976E+05	 3.190E+06
    0.1375	 2.152E+03	 1.975E+03	 2.078E+03	 1.438E+02	 1.836E+03	-1.776E+03	 0.000E+00	 3.051E+05	 4.140E+06
    0.1500	 2.399E+03	 2.229E+03	 2.301E+03	 1.336E+02	 2.002E+03	-1.963E+03	 0.000E+00	 1.129E+05	 5.302E+06
    0.1625	 2.654E+03	 2.490E+03	 2.532E+03	 1.255E+02	 2.173E+03	-2.164E+03	 0.000E+00	-1.542E+05	 6.413E+06
    0.1750	 2.915E+03	 2.739E+03	 2.758E+03	 1.203E+02	 2.342E+03	-2.370E+03	 0.000E+00	-4.584E+05	 7.154E+06
    0.1875	 3.180E+03	 2.968E+03	 2.976E+03	 1.207E+02	 2.508E+03	-2.581E+03	 0.000E+00	-7.727E+05	 7.454E+06
    0.2000	 3.436E+03	 3.185E+03	 3.189E+03	 1.283E+02	 2.676E+03	-2.799E+03	 0.000E+00	-1.075E+06	 7.512E+06
    0.2125	 3.667E+03	 3.414E+03	 3.402E+03	 1.412E+02	 2.853E+03	-3.026E+03	 0.000E+00	-1.330E+06	 7.537E+06
    0.2250	 3.878E+03	 3.649E+03	 3.612E+03	 1.590E+02	 3.038E+03	-3.258E+03	 0.000E+00	-1.486E+06	 7.534E+06
    0.2375	 4.073E+03	 3.849E+03	 3.810E+03	 1.843E+02	 3.221E+03	-3.486E+03	 0.000E+00	-1.509E+06	 7.341E+06
    0.2500	 4.266E+03	 4.013E+03	 3.998E+03	 2.158E+02	 3.397E+03	-3.704E+03	 0.000E+00	-1.399E+06	 6.866E+06
    0.2625	 4.460E+03	 4.165E+03	 4.177E+03	 2.508E+02	 3.571E+03	-3.911E+03	 0.000E+00	-1.184E+06	 6.273E+06
    0.2750	 4.642E+03	 4.300E+03	 4.331E+03	 2.909E+02	 3.746E+03	-4.113E+03	 0.000E+00	-8.958E+05	 5.862E+06
    0.2875	 4.810E+03	 4.477E+03	 4.475E+03	 3.287E+02	 3.933E+03	-4.311E+03	 0.000E+00	-5.556E+05	 5.772E+06
    0.3000	 4.967E+03	 4.680E+03	 4.618E+03	 3.652E+02	 4.124E+03	-4.500E+03	 0.000E+00	-1.846E+05	 5.906E+06
    0.3125	 5.119E+03	 4.857E+03	 4.751E+03	 4.066E+02	 4.302E+03	-4.674E+03	 0.000E+00	 1.811E+05	 6.061E+06
    0.3250	 5.269E+03	 5.012E+03	 4.873E+03	 4.526E+02	 4.465E+03	-4.831E+03	 0.000E+00	 4.969E+05	 6.141E+06
    0.3375	 5.413E+03	 5.129E+03	 4.989E+03	 5.075E+02	 4.608E+03	-4.975E+03	 0.000E+00	 7.414E+05	 6.242E+06
    0.3500	 5.551E+03	 5.223E+03	 5.095E+03	 5.722E+02	 4.737E+03	-5.116E+03	 0.000E+00	 9.268E+05	 6.481E+06
